model,bin,bin_left,bin_right,n,mean_predicted_risk,observed_dropout_rate,abs_calibration_error
"Logistic Regression, uncalibrated",1,0.0,0.1,454,0.04070575869155952,0.030837004405286344,0.009868754286273176
"Logistic Regression, uncalibrated",2,0.1,0.2,117,0.14393527836690526,0.07692307692307693,0.06701220144382833
"Logistic Regression, uncalibrated",3,0.2,0.30000000000000004,45,0.24909958526238382,0.2222222222222222,0.02687736304016161
"Logistic Regression, uncalibrated",4,0.30000000000000004,0.4,30,0.3509421960919489,0.26666666666666666,0.08427552942528221
"Logistic Regression, uncalibrated",5,0.4,0.5,33,0.4374947903147199,0.2727272727272727,0.16476751758744718
"Logistic Regression, uncalibrated",6,0.5,0.6000000000000001,25,0.5434499232691395,0.32,0.22344992326913954
"Logistic Regression, uncalibrated",7,0.6000000000000001,0.7000000000000001,16,0.6516680856025817,0.5,0.15166808560258171
"Logistic Regression, uncalibrated",8,0.7000000000000001,0.8,15,0.7587429543530984,0.8,0.04125704564690169
"Logistic Regression, uncalibrated",9,0.8,0.9,28,0.8465702590054892,0.9642857142857143,0.11771545528022509
"Logistic Regression, uncalibrated",10,0.9,1.0,326,0.9863689925412907,0.9846625766871165,0.0017064158541741925
"Logistic Regression, Platt",1,0.0,0.1,410,0.04945431833635706,0.03170731707317073,0.017747001263186325
"Logistic Regression, Platt",2,0.1,0.2,152,0.14490085827512572,0.05263157894736842,0.0922692793277573
"Logistic Regression, Platt",3,0.2,0.30000000000000004,54,0.2461202630763189,0.2037037037037037,0.04241655937261521
"Logistic Regression, Platt",4,0.30000000000000004,0.4,41,0.3529224922413804,0.3170731707317073,0.03584932150967307
"Logistic Regression, Platt",5,0.4,0.5,37,0.44546748895863164,0.24324324324324326,0.20222424571538838
"Logistic Regression, Platt",6,0.5,0.6000000000000001,20,0.5477017572543381,0.5,0.04770175725433812
"Logistic Regression, Platt",7,0.6000000000000001,0.7000000000000001,16,0.6594542507306771,0.5625,0.0969542507306771
"Logistic Regression, Platt",8,0.7000000000000001,0.8,25,0.7584255463285006,0.96,0.2015744536714994
"Logistic Regression, Platt",9,0.8,0.9,36,0.8644532896525529,0.9444444444444444,0.07999115479189156
"Logistic Regression, Platt",10,0.9,1.0,298,0.9805562323800737,0.9899328859060402,0.009376653525966505
"Logistic Regression, isotonic",1,0.0,0.1,414,0.049717517098471074,0.03140096618357488,0.018316550914896194
"Logistic Regression, isotonic",2,0.1,0.2,174,0.12942012796319394,0.07471264367816093,0.05470748428503301
"Logistic Regression, isotonic",3,0.2,0.30000000000000004,33,0.24266738054706843,0.18181818181818182,0.06084919872888661
"Logistic Regression, isotonic",4,0.30000000000000004,0.4,36,0.34701248134060464,0.2777777777777778,0.06923470356282685
"Logistic Regression, isotonic",5,0.4,0.5,36,0.453790515695488,0.3611111111111111,0.0926794045843769
"Logistic Regression, isotonic",6,0.5,0.6000000000000001,21,0.5531337102151611,0.38095238095238093,0.17218132926278018
"Logistic Regression, isotonic",7,0.6000000000000001,0.7000000000000001,14,0.6604598581384403,0.5714285714285714,0.08903128670986893
"Logistic Regression, isotonic",8,0.7000000000000001,0.8,10,0.747345222720526,1.0,0.25265477727947405
"Logistic Regression, isotonic",9,0.8,0.9,22,0.8726075463593425,0.9545454545454546,0.08193790818611213
"Logistic Regression, isotonic",10,0.9,1.0,329,0.9890405898053262,0.9848024316109423,0.00423815819438389
"Decision Tree, uncalibrated",1,0.0,0.1,505,0.06490272637186731,0.07920792079207921,0.0143051944202119
"Decision Tree, uncalibrated",2,0.1,0.2,127,0.1636327061638861,0.14960629921259844,0.014026406951287651
"Decision Tree, uncalibrated",3,0.2,0.30000000000000004,81,0.27549251379038614,0.2962962962962963,0.02080378250591014
"Decision Tree, uncalibrated",6,0.5,0.6000000000000001,10,0.55,0.4,0.15000000000000002
"Decision Tree, uncalibrated",7,0.6000000000000001,0.7000000000000001,11,0.661764705882353,0.5454545454545454,0.11631016042780762
"Decision Tree, uncalibrated",9,0.8,0.9,14,0.8333333333333336,0.7142857142857143,0.11904761904761929
"Decision Tree, uncalibrated",10,0.9,1.0,341,0.9825976564979497,0.9472140762463344,0.035383580251615365
"Decision Tree, Platt",1,0.0,0.1,302,0.09787895848225983,0.033112582781456956,0.06476637570080288
"Decision Tree, Platt",2,0.1,0.2,313,0.13005170398028243,0.10223642172523961,0.027815282255042817
"Decision Tree, Platt",3,0.2,0.30000000000000004,36,0.2525625882358288,0.3333333333333333,0.08077074509750454
"Decision Tree, Platt",4,0.30000000000000004,0.4,35,0.34101154218741997,0.3142857142857143,0.02672582790170569
"Decision Tree, Platt",5,0.4,0.5,25,0.4520405614718274,0.64,0.1879594385281726
"Decision Tree, Platt",6,0.5,0.6000000000000001,12,0.5650009600358015,0.5,0.06500096003580147
"Decision Tree, Platt",7,0.6000000000000001,0.7000000000000001,23,0.6513806438139145,0.6086956521739131,0.04268499164000139
"Decision Tree, Platt",8,0.7000000000000001,0.8,16,0.7544950244751917,0.6875,0.06699502447519168
"Decision Tree, Platt",9,0.8,0.9,50,0.8859030631567026,0.8,0.0859030631567026
"Decision Tree, Platt",10,0.9,1.0,277,0.9282145078318504,0.9891696750902527,0.06095516725840222
"Decision Tree, isotonic",1,0.0,0.1,334,0.08387242920075738,0.038922155688622756,0.044950273512134625
