row_index,predicted_dropout_risk,Age at enrollment,Admission grade,Previous qualification (grade),Debtor,Tuition fees up to date,Scholarship holder,Curricular units 1st sem (enrolled),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations)
2117,0.010657798336003018,18,142.3,141.0,0,1,0,8,8,12.82875,8,8,12.82875,0
856,0.013079921352184122,22,141.7,127.0,0,1,0,6,6,12.666666666666666,6,6,13.833333333333334,0
4244,0.01584121932380282,19,154.6,150.0,0,1,0,12,12,12.333333333333334,11,10,12.727272727272728,0
1106,0.018473608038140632,20,123.3,124.0,0,1,1,8,7,14.901428571428571,8,7,14.901428571428571,1
1313,0.023105020477370914,18,129.0,144.0,0,1,0,7,7,12.65,8,8,13.411111111111111,0
3473,0.027554253760461344,24,131.8,133.1,0,1,0,15,14,11.357142857142858,14,13,12.846153846153848,0
4352,0.030814042533613875,18,137.6,140.0,0,1,0,6,6,11.666666666666666,6,6,12.333333333333334,0
3808,0.042070722106315,53,130.0,130.0,0,1,0,18,17,13.176470588235292,18,16,13.0,0
3733,0.053182595514940714,40,134.0,120.0,0,1,1,6,6,12.333333333333334,6,4,12.75,0
114,0.06490734773069869,18,131.0,122.0,0,1,0,7,6,12.516666666666666,7,6,12.516666666666666,1
472,0.06615597214110039,23,128.4,142.0,0,1,0,6,6,11.875,6,5,12.833333333333334,0
3047,0.06850696652793277,18,134.2,137.0,0,1,0,6,6,13.166666666666666,6,5,14.2,0
508,0.07492537788561943,18,146.2,150.0,0,1,0,5,4,13.0,5,5,14.0,0
1419,0.08933095920602734,24,120.0,114.0,0,1,0,6,6,12.571428571428571,6,5,12.833333333333334,0
3112,0.10876073687842515,19,122.3,124.0,0,1,0,6,6,11.666666666666666,6,6,12.333333333333334,0
3664,0.11199102484434477,19,121.8,126.0,0,1,0,7,6,13.731666666666667,8,7,13.771428571428572,0
1782,0.11471529451771345,27,143.8,130.0,0,1,0,8,7,15.57,8,7,15.57,0
4328,0.16072242272932566,31,124.2,130.0,0,1,0,7,6,13.666666666666666,6,5,13.5,0
4107,0.16835986155426544,19,127.8,129.0,0,1,0,8,6,13.78,8,6,13.78,1
4303,0.17083415144197273,18,139.7,147.0,0,1,0,6,5,11.6,6,6,12.0,0
2918,0.17164623476171112,38,112.9,110.0,0,1,0,15,14,10.928571428571429,14,12,11.833333333333334,0
1450,0.18273195181553034,18,127.8,132.0,0,1,0,6,6,12.0,6,5,12.166666666666666,0
1420,0.1883974997909236,18,127.3,143.0,0,1,0,6,5,11.8,6,5,11.4,0
1598,0.20272910390501941,18,140.9,136.0,0,1,0,6,4,12.0,6,5,11.8,0
1583,0.21267452406692539,21,125.0,119.0,0,1,1,6,5,12.0,6,5,11.2,0
