feature,false_negative_mean,true_positive_mean,all_dropout_mean,fn_minus_tp,standardized_fn_minus_tp
Curricular units 2nd sem (approved),5.72,1.2127659574468086,1.7417840375586855,4.507234042553192,1.8148285099199852
Curricular units 1st sem (approved),6.22,1.8670212765957446,2.3779342723004695,4.352978723404255,1.5554941828946853
Curricular units 2nd sem (grade),12.00427804806305,4.799663183890577,5.645275257150257,7.2046148641724725,1.173183259221269
Curricular units 1st sem (grade),11.925190931911224,6.445276445481233,7.088458896940152,5.479914486429991,0.9079713189661187
Tuition fees up to date,1.0,0.6117021276595744,0.6572769953051644,0.38829787234042556,0.8181240628113448
Curricular units 1st sem (enrolled),7.0,5.723404255319149,5.873239436619718,1.2765957446808507,0.5863721973667078
Curricular units 2nd sem (enrolled),6.88,5.720744680851064,5.856807511737089,1.1592553191489356,0.5686757691496785
Debtor,0.04,0.2553191489361702,0.2300469483568075,-0.21531914893617018,-0.5116138513322244
Age at enrollment,23.5,26.050531914893618,25.751173708920188,-2.550531914893618,-0.29517773690001936
Scholarship holder,0.12,0.0797872340425532,0.08450704225352113,0.0402127659574468,0.14457393156272041
Admission grade,126.98200000000001,125.02313829787235,125.25305164319249,1.9588617021276633,0.12748949206283766
Curricular units 2nd sem (without evaluations),0.12,0.24468085106382978,0.2300469483568075,-0.12468085106382978,-0.11927942077323637
Previous qualification (grade),132.108,131.44920212765956,131.52652582159624,0.6587978723404433,0.052190871304951265
