feature,value,mean_predicted_dropout_risk
Curricular units 2nd sem (approved),0.0,0.6524211815120906
Curricular units 2nd sem (approved),1.0,0.6524701561065198
Curricular units 2nd sem (approved),2.0,0.6420783593510866
Curricular units 2nd sem (approved),3.0,0.5995010713192531
Curricular units 2nd sem (approved),4.0,0.4227027854300582
Curricular units 2nd sem (approved),5.0,0.3379981634527089
Curricular units 2nd sem (approved),6.0,0.31029996939087845
Curricular units 2nd sem (approved),7.0,0.3053933272115091
Curricular units 2nd sem (approved),8.0,0.30637894092439544
Curricular units 2nd sem (approved),9.0,0.3063116008570554
Curricular units 2nd sem (approved),10.0,0.30748699112335476
Curricular units 2nd sem (approved),11.0,0.30614631160085704
Curricular units 2nd sem (approved),12.0,0.30582185491276404
Curricular units 2nd sem (approved),13.0,0.30352310988674625
Curricular units 2nd sem (approved),14.0,0.30382307927762475
Curricular units 2nd sem (approved),16.0,0.303835322926232
Curricular units 2nd sem (approved),17.0,0.30382307927762475
Curricular units 2nd sem (approved),19.0,0.30382307927762475
Tuition fees up to date,0.0,0.648132843587389
Tuition fees up to date,1.0,0.38655953474135296
