feature,importance_mean_auc_drop,importance_std
Curricular units 2nd sem (approved),0.06203485366699942,0.005318889170450306
Tuition fees up to date,0.01720023509584394,0.0032004324924954294
Curricular units 1st sem (approved),0.010623393452722318,0.0028685265040562452
Curricular units 2nd sem (grade),0.008766525750784172,0.003497941918113417
Scholarship holder,0.0030227873019918585,0.0013749573428988248
Course,0.0026936885263313614,0.0004299571531217871
Curricular units 1st sem (grade),0.0023520206204546866,0.002855114533136017
Curricular units 1st sem (enrolled),0.0023405136702567718,0.0006665138236982148
Curricular units 2nd sem (enrolled),0.002048414165232648,0.0005308801576164001
Application mode,0.0014996211557934292,0.0009472089365493208
Age at enrollment,0.00147731537540976,0.00147906893642247
Debtor,0.0011214850692894296,0.0006173938805360816
Gender,0.0010361566078218142,0.0011347112392745516
Curricular units 1st sem (evaluations),0.0008998435054772491,0.0014008132676886181
Curricular units 2nd sem (evaluations),0.0008169934640522069,0.0014632876959717242
Application order,0.0007553870229925708,0.0006916148064198283
Father's qualification,0.0007075889221704768,0.00045669970165348626
Curricular units 1st sem (credited),0.0006629773614031387,0.0006824896944747566
Displaced,0.0006436810910712465,0.0004280768503214793
Curricular units 1st sem (without evaluations),0.0003954850268022336,0.0001957798166884598
Curricular units 2nd sem (without evaluations),0.00035795466615673455,0.00010811823916126686
Marital status,0.00035211267605628205,0.0002253883956767831
Father's occupation,0.00021279006365992892,0.0003760817318162922
Curricular units 2nd sem (credited),0.00020252232348332287,0.0005472800012542184
Admission grade,0.00016729335287737345,0.00016885962088733134
Daytime/evening attendance,2.0004390344019464e-05,0.00017532594263431337
International,1.2215070210008782e-05,1.7622267566395284e-05
Nacionality,2.1243600364706516e-06,0.0001024231404637272
Educational special needs,-5.116167088005108e-05,3.775722532389676e-05
Previous qualification (grade),-6.727140115714292e-05,0.0005062915718297303
GDP,-9.435699162299027e-05,0.0002706036061775271
Mother's qualification,-0.00015578640267958078,0.00046278568371457027
Previous qualification,-0.00042203952725912154,0.0004430486281025893
Mother's occupation,-0.00054171180931748,0.0006911587776519093
Inflation rate,-0.0009409144661837954,0.000527716462115603
Unemployment rate,-0.0010134967674322315,0.00043616129636244024
