TSNE-1,TSNE-2,Target
45.307278,-42.2518,Dropout
42.69115,0.92697895,Graduate
42.445347,-46.573776,Dropout
-18.529333,-43.14427,Graduate
-40.731483,33.358273,Graduate
-62.696297,13.091865,Graduate
-8.886527,-31.686438,Graduate
-26.463186,7.647095,Dropout
73.49599,-10.683116,Graduate
-33.981373,14.289768,Dropout
-4.802181,-11.134821,Graduate
-6.0789447,-24.055058,Graduate
-9.350027,12.017848,Dropout
16.83601,43.47921,Graduate
28.88855,-1.1761752,Graduate
-7.931275,-40.301952,Dropout
23.467834,-32.38364,Enrolled
8.6728525,-32.391914,Graduate
23.161299,-6.4809437,Graduate
-8.321346,-6.816106,Enrolled
-10.956838,23.108162,Graduate
20.735786,-52.58201,Enrolled
17.838701,-64.07835,Graduate
21.262852,-56.98015,Graduate
18.839031,-8.68764,Graduate
12.652446,-43.202076,Enrolled
10.65852,-37.936935,Graduate
30.69037,-7.5598536,Enrolled
-28.422747,-24.607927,Graduate
39.964725,9.206111,Enrolled
28.551104,65.750496,Enrolled
14.64718,16.00463,Graduate
-30.234161,-13.757388,Enrolled
-34.937813,-10.43063,Graduate
-15.374093,34.86745,Graduate
-34.6615,9.218456,Dropout
7.528104,37.764595,Dropout
-26.814463,-13.464246,Dropout
-37.88632,63.71285,Graduate
43.005722,48.541622,Dropout
45.186455,19.732292,Dropout
46.201794,26.160618,Graduate
-45.776543,-49.509796,Graduate
-15.009684,-42.491978,Dropout
-29.33009,30.90638,Dropout
-19.16282,31.756239,Enrolled
10.271079,-36.41114,Graduate
-15.0934105,-76.388016,Graduate
24.995052,78.87226,Graduate
15.619315,-36.83615,Graduate
-6.7104278,-19.355947,Graduate
-9.834383,-31.68515,Enrolled
1.0031223,-44.97741,Enrolled
-14.5597315,-5.6220875,Graduate
-22.3381,32.431328,Dropout
1.4950509,-17.117739,Graduate
-24.60349,56.537712,Dropout
23.939003,44.101204,Dropout
-3.8485696,-27.733162,Graduate
-15.020174,23.714298,Enrolled
6.4558177,-32.641853,Graduate
30.1622,77.52456,Graduate
-16.056557,23.783154,Enrolled
8.905782,2.372769,Enrolled
2.165253,7.4808373,Enrolled
-45.684883,60.324398,Dropout
-13.791403,19.516705,Graduate
27.797256,73.3351,Graduate
5.8377137,-48.32962,Dropout
-18.924461,-2.4022033,Enrolled
-20.83931,-19.129465,Enrolled
-27.47146,-3.3645406,Graduate
-12.560706,17.721933,Dropout
11.008206,-63.424854,Dropout
-4.275059,-48.769833,Graduate
6.3682876,-48.30124,Dropout
8.911286,-58.111694,Dropout
9.773068,-52.38809,Graduate
13.03397,-62.433006,Graduate
-41.804024,32.208805,Graduate
-15.784285,-68.46318,Dropout
19.156189,37.754925,Dropout
23.768017,44.280964,Dropout
8.567922,-0.47717538,Enrolled
-41.919094,30.193024,Graduate
-11.859793,-31.182066,Graduate
4.8417025,-5.72517,Graduate
-0.1763255,-5.8616905,Graduate
-18.05458,-68.84738,Enrolled
-30.726404,3.185434,Enrolled
-23.376175,1.5719166,Dropout
-67.98783,-17.07457,Graduate
-67.2187,-18.1316,Dropout
5.601981,37.82668,Dropout
-39.784954,33.753807,Graduate
-49.08611,-30.13883,Enrolled
49.13484,-45.10664,Graduate
52.351444,-48.81928,Graduate
28.644308,10.982194,Enrolled
45.101284,20.987986,Dropout
17.625074,49.110016,Dropout
-10.729797,24.370388,Graduate
-39.955322,27.476074,Dropout
-3.48384,61.167717,Graduate
-14.046142,10.963348,Dropout
37.242477,26.555233,Graduate
-13.589894,2.8471026,Dropout
27.924007,6.315866,Dropout
54.144485,-41.27096,Dropout
20.787148,-21.991581,Enrolled
19.052803,-39.455482,Graduate
-22.701366,-33.23682,Enrolled
28.782385,3.8792114,Graduate
42.49016,-26.99348,Graduate
-4.032205,-32.94686,Dropout
1.4124339,-12.989992,Enrolled
16.292229,-41.504364,Enrolled
23.807087,-14.016738,Enrolled
34.996,6.3252683,Graduate
-25.279358,-17.363762,Graduate
3.1727958,-2.2139516,Dropout
-22.523268,-30.423422,Graduate
-2.8311613,19.298056,Dropout
-9.437284,-21.31324,Graduate
24.87822,4.76251,Graduate
-12.959557,-66.485085,Dropout
35.434715,72.068665,Graduate
-5.4101186,-19.78257,Enrolled
30.012768,-27.95172,Graduate
-11.555327,-74.52184,Graduate
47.891243,-17.939999,Dropout
-4.824748,-33.24158,Graduate
14.330772,-50.432346,Graduate
-9.093376,-74.5756,Dropout
4.6393414,16.404572,Graduate
-29.406578,12.982753,Dropout
-1.5008377,-16.132696,Graduate
-15.579898,-47.589535,Graduate
2.812511,-35.7979,Enrolled
10.706327,-10.917061,Graduate
49.898266,-48.112766,Graduate
-9.199975,-69.85011,Graduate
-30.499557,7.0798235,Enrolled
30.200537,-28.09633,Graduate
45.732296,-19.537405,Graduate
55.026524,-46.969784,Graduate
15.625335,-56.753883,Dropout
-11.258853,-14.997429,Dropout
34.964054,18.777182,Graduate
5.740845,-13.84449,Graduate
-2.4609563,19.922415,Enrolled
25.46197,9.891478,Graduate
-6.8116965,-15.16185,Enrolled
-14.73908,-17.61657,Graduate
37.300575,22.072285,Dropout
-1.7446126,-9.225478,Dropout
-18.813295,-24.662525,Graduate
11.009893,-39.04955,Graduate
30.985619,-26.685602,Graduate
-20.4671,35.523636,Graduate
1.0517037,-7.490898,Dropout
-6.252558,-25.300552,Graduate
5.9635777,-32.74074,Graduate
52.363556,-41.902245,Dropout
8.277433,-6.825956,Graduate
-12.076735,-44.326256,Graduate
-45.524055,-8.11602,Enrolled
30.521254,-30.923964,Graduate
-20.931988,57.6459,Graduate
21.967175,-26.9703,Dropout
26.665747,5.062021,Enrolled
-4.752584,-36.1554,Graduate
0.16265485,-4.917802,Graduate
-21.147013,40.731735,Graduate
-28.199028,16.15236,Dropout
-12.771851,-20.525038,Enrolled
-14.703497,-12.954239,Graduate
10.292737,26.568325,Dropout
50.001434,-46.9059,Dropout
-18.394184,58.751854,Dropout
0.59154177,59.65927,Graduate
24.555744,79.10347,Enrolled
-61.934483,3.6481376,Dropout
-19.18291,-7.603066,Dropout
-8.446122,13.844046,Dropout
-6.6752596,10.881177,Dropout
-9.171893,4.6151056,Enrolled
47.326103,-14.0294075,Graduate
28.249966,4.8734603,Dropout
18.274975,-52.945488,Graduate
-6.6678705,-19.875938,Graduate
-27.05629,38.283802,Enrolled
2.4146903,17.893843,Dropout
-7.2988257,15.520161,Dropout
16.234575,-62.8902,Graduate
-16.762165,38.35606,Dropout
-18.79886,-73.63488,Graduate
-22.577435,53.07803,Dropout
19.075953,-8.385482,Graduate
17.34825,11.554249,Enrolled
