tsne_1,tsne_2,Cover_Type,Cover_Type_Name,MiniBatchKMeans_cluster,Ward_cluster
-3.8231115,-20.218195,1,Spruce/Fir,1,1
31.627628,-19.871964,2,Lodgepole Pine,0,0
-17.31499,-51.56392,1,Spruce/Fir,1,1
-31.996939,53.07573,2,Lodgepole Pine,1,1
-23.796715,3.4176242,1,Spruce/Fir,1,1
-18.517948,40.83695,2,Lodgepole Pine,1,1
-32.175816,-6.281314,7,Krummholz,1,1
8.455617,-28.132084,1,Spruce/Fir,1,1
-31.261583,29.262896,1,Spruce/Fir,1,1
25.560038,45.681923,2,Lodgepole Pine,0,0
23.306486,12.957563,2,Lodgepole Pine,0,0
27.450012,32.351654,2,Lodgepole Pine,0,0
12.7107115,13.551624,5,Aspen,0,0
34.973778,-38.160423,1,Spruce/Fir,0,0
24.298494,56.52556,2,Lodgepole Pine,0,0
-25.45297,-10.104349,7,Krummholz,1,1
-15.100194,-48.105625,1,Spruce/Fir,1,1
-40.493732,13.794962,1,Spruce/Fir,1,0
-21.554262,-49.568085,1,Spruce/Fir,1,1
-41.79624,29.163555,1,Spruce/Fir,1,1
-51.788666,-47.163624,2,Lodgepole Pine,1,1
0.5302747,-55.706055,1,Spruce/Fir,1,1
32.437862,4.6575513,1,Spruce/Fir,0,0
44.666473,-7.9687676,2,Lodgepole Pine,0,0
26.24576,-50.692963,1,Spruce/Fir,0,0
-14.728257,38.247677,2,Lodgepole Pine,1,1
37.85326,-27.864021,2,Lodgepole Pine,0,0
57.045967,15.818235,2,Lodgepole Pine,0,0
9.8912735,20.426447,2,Lodgepole Pine,1,0
-41.85136,35.70514,2,Lodgepole Pine,1,1
-38.955067,11.171732,2,Lodgepole Pine,1,0
60.545593,46.44509,3,Ponderosa Pine,0,0
-55.434517,-46.99967,2,Lodgepole Pine,1,1
45.837788,13.368647,2,Lodgepole Pine,0,0
-41.017036,-28.11919,2,Lodgepole Pine,1,1
-5.9769607,28.013699,1,Spruce/Fir,1,1
7.295235,28.543386,1,Spruce/Fir,1,1
44.972946,-31.441818,2,Lodgepole Pine,0,0
-41.979755,35.39255,2,Lodgepole Pine,1,1
-36.034473,-38.430683,2,Lodgepole Pine,1,1
-10.83472,-69.550095,2,Lodgepole Pine,1,1
47.718784,36.582817,2,Lodgepole Pine,0,0
-44.30194,-26.087889,2,Lodgepole Pine,1,1
-10.772766,-82.160446,2,Lodgepole Pine,1,1
-29.650057,20.72459,2,Lodgepole Pine,1,1
-35.85204,67.75298,3,Ponderosa Pine,1,1
-40.869804,47.51178,2,Lodgepole Pine,1,1
-3.816638,-15.822591,2,Lodgepole Pine,1,1
21.245577,21.646173,2,Lodgepole Pine,0,0
-7.3560443,38.87203,1,Spruce/Fir,1,1
-2.2724907,-54.698727,2,Lodgepole Pine,1,1
-35.784348,-13.439068,1,Spruce/Fir,1,1
-7.4013295,27.887424,1,Spruce/Fir,1,1
4.984082,-28.540388,1,Spruce/Fir,1,1
-5.9977446,4.5058103,1,Spruce/Fir,1,1
-44.19255,-44.45555,2,Lodgepole Pine,1,1
-29.123146,-14.121031,1,Spruce/Fir,1,1
57.22132,-26.528429,1,Spruce/Fir,0,0
-17.869938,-81.39968,2,Lodgepole Pine,1,1
6.6887274,-34.99336,1,Spruce/Fir,1,1
28.96253,52.70988,2,Lodgepole Pine,0,0
29.088121,1.8997307,1,Spruce/Fir,0,0
-41.261143,48.490997,2,Lodgepole Pine,1,1
14.730132,-63.67144,2,Lodgepole Pine,0,0
16.848385,30.600672,2,Lodgepole Pine,0,0
47.43756,-10.911583,2,Lodgepole Pine,0,0
-15.460689,0.024328083,1,Spruce/Fir,1,1
0.5390856,26.015984,1,Spruce/Fir,1,1
12.544904,-58.420467,2,Lodgepole Pine,1,1
41.294262,19.721972,2,Lodgepole Pine,0,0
-11.442404,56.5587,2,Lodgepole Pine,1,1
-7.6506867,-21.845478,1,Spruce/Fir,1,1
-34.816105,30.027039,1,Spruce/Fir,1,1
34.830227,-47.761395,2,Lodgepole Pine,0,0
26.482512,-39.55084,1,Spruce/Fir,0,0
16.119,51.253857,3,Ponderosa Pine,0,1
-25.65624,31.232233,1,Spruce/Fir,1,1
11.704673,49.872746,2,Lodgepole Pine,1,1
-1.9614365,1.2999047,1,Spruce/Fir,1,1
-18.596706,-4.410157,1,Spruce/Fir,1,1
-31.386118,13.894974,2,Lodgepole Pine,1,0
-2.84002,19.699158,1,Spruce/Fir,1,1
55.123356,28.808903,5,Aspen,0,0
15.893324,-60.45734,2,Lodgepole Pine,0,0
-40.035374,26.927256,2,Lodgepole Pine,1,1
-18.925293,76.23566,3,Ponderosa Pine,1,1
-38.679806,-22.200659,2,Lodgepole Pine,1,1
-47.785595,40.665825,2,Lodgepole Pine,1,1
-27.063076,34.80864,1,Spruce/Fir,1,1
49.47871,-6.4261465,7,Krummholz,0,0
31.027271,8.199344,1,Spruce/Fir,0,0
-35.104523,2.5465539,7,Krummholz,1,0
-11.904044,24.73771,2,Lodgepole Pine,1,1
-27.561895,51.036583,6,Douglas-fir,1,1
-55.523552,-7.4444437,5,Aspen,1,1
53.328526,10.372314,1,Spruce/Fir,0,0
-36.07048,10.757153,2,Lodgepole Pine,1,0
14.881346,8.889123,1,Spruce/Fir,0,0
67.943146,46.70397,3,Ponderosa Pine,0,0
-37.85856,-26.19817,2,Lodgepole Pine,1,1
26.430643,-48.683556,2,Lodgepole Pine,0,0
25.175581,-42.304413,2,Lodgepole Pine,0,0
0.6407101,27.321426,1,Spruce/Fir,1,1
-6.8749,17.393835,7,Krummholz,1,1
-19.949842,-58.715553,1,Spruce/Fir,1,1
71.901764,44.916702,6,Douglas-fir,0,0
-2.3835447,-57.113033,1,Spruce/Fir,1,1
-26.63746,70.42512,3,Ponderosa Pine,1,1
64.87638,44.792664,2,Lodgepole Pine,0,0
37.65635,-42.503853,1,Spruce/Fir,0,0
-37.901768,14.583355,2,Lodgepole Pine,1,0
55.76229,-29.139837,1,Spruce/Fir,0,0
-20.506884,-55.22918,1,Spruce/Fir,1,1
-58.684162,-23.858185,2,Lodgepole Pine,1,1
-30.582855,-10.779379,1,Spruce/Fir,1,1
-21.227833,21.575483,1,Spruce/Fir,1,1
-25.678106,22.394653,1,Spruce/Fir,1,1
1.0604293,-48.740643,2,Lodgepole Pine,1,1
13.5454235,-59.4709,2,Lodgepole Pine,0,1
62.365852,52.909855,3,Ponderosa Pine,0,0
6.317343,-46.891575,2,Lodgepole Pine,1,1
23.01909,25.134535,2,Lodgepole Pine,0,0
-3.9236805,-37.680077,2,Lodgepole Pine,1,1
-15.856543,-22.01957,1,Spruce/Fir,1,1
-16.622553,0.8274532,1,Spruce/Fir,1,1
45.429527,-6.5681357,2,Lodgepole Pine,0,0
-14.378669,34.204723,2,Lodgepole Pine,1,1
-47.053284,-21.193487,1,Spruce/Fir,1,1
-8.046946,-58.314,2,Lodgepole Pine,1,1
-27.696667,74.51216,3,Ponderosa Pine,1,1
25.776548,-61.614166,1,Spruce/Fir,0,0
65.27446,42.340874,6,Douglas-fir,0,0
-41.460033,-31.992907,2,Lodgepole Pine,1,1
29.604055,40.03903,2,Lodgepole Pine,0,0
-22.91209,-16.980772,1,Spruce/Fir,1,1
-21.478521,-50.085144,1,Spruce/Fir,1,1
45.249638,2.3139708,1,Spruce/Fir,0,0
-53.768486,-50.296665,2,Lodgepole Pine,1,1
32.559673,-50.19635,2,Lodgepole Pine,0,0
-30.916176,30.60241,2,Lodgepole Pine,1,1
55.231785,18.878845,2,Lodgepole Pine,0,0
-52.850117,-47.37473,2,Lodgepole Pine,1,1
0.5957107,50.473045,6,Douglas-fir,0,0
21.303453,1.5960627,1,Spruce/Fir,0,0
-36.770935,-3.540913,1,Spruce/Fir,1,1
-39.189816,41.147224,2,Lodgepole Pine,1,1
-32.164005,-74.80249,2,Lodgepole Pine,1,1
-19.91844,-30.301464,2,Lodgepole Pine,1,0
-37.253384,12.105238,2,Lodgepole Pine,1,0
-6.727181,-48.855473,1,Spruce/Fir,1,1
-48.03701,-22.611897,2,Lodgepole Pine,1,1
2.5884576,57.18014,3,Ponderosa Pine,1,1
-16.337612,55.5948,3,Ponderosa Pine,1,1
8.866637,21.120102,2,Lodgepole Pine,1,0
23.755384,-35.865746,2,Lodgepole Pine,0,0
-16.366108,-49.073723,2,Lodgepole Pine,1,1
10.468604,-29.085354,1,Spruce/Fir,1,1
39.32136,-39.633396,1,Spruce/Fir,0,0
42.360374,24.000563,2,Lodgepole Pine,0,0
-15.560518,-34.327766,2,Lodgepole Pine,1,1
58.001694,23.25379,2,Lodgepole Pine,0,0
-43.025185,-30.06381,2,Lodgepole Pine,1,1
31.548635,57.08606,3,Ponderosa Pine,0,0
-12.399667,27.165922,1,Spruce/Fir,1,1
50.174164,22.51173,1,Spruce/Fir,0,0
27.092312,-32.87001,1,Spruce/Fir,0,0
-31.255035,51.2986,1,Spruce/Fir,1,1
27.82349,-35.196205,2,Lodgepole Pine,0,0
6.570587,-35.135483,1,Spruce/Fir,1,1
-27.972254,34.154575,1,Spruce/Fir,1,1
-44.92553,42.71894,2,Lodgepole Pine,1,1
-7.801107,-50.416378,1,Spruce/Fir,1,1
-37.929947,-19.798634,2,Lodgepole Pine,1,1
-58.13795,-20.526789,2,Lodgepole Pine,1,1
-7.2035146,-57.44567,1,Spruce/Fir,1,1
-15.230922,-55.03544,7,Krummholz,1,1
23.04166,-50.323467,2,Lodgepole Pine,0,0
28.386309,46.666965,2,Lodgepole Pine,0,0
35.012794,-47.233315,1,Spruce/Fir,0,0
-37.554447,71.33088,3,Ponderosa Pine,1,1
-24.241764,53.935726,2,Lodgepole Pine,1,1
-12.49984,-13.78666,1,Spruce/Fir,1,1
9.6208105,-12.160703,1,Spruce/Fir,0,0
23.41623,22.370214,1,Spruce/Fir,0,0
23.51849,47.43432,2,Lodgepole Pine,0,0
-32.513138,-13.391282,1,Spruce/Fir,1,1
-13.166249,-83.274574,2,Lodgepole Pine,1,1
-12.86877,-46.042847,2,Lodgepole Pine,1,1
-45.7028,34.417492,6,Douglas-fir,1,1
-41.537495,45.127197,2,Lodgepole Pine,1,1
-30.335417,34.07686,1,Spruce/Fir,1,1
34.127235,-25.6909,2,Lodgepole Pine,0,0
-47.254036,-17.252676,2,Lodgepole Pine,1,1
24.478142,51.857544,2,Lodgepole Pine,0,0
-12.692832,-54.539112,1,Spruce/Fir,1,1
-43.320293,-10.392771,1,Spruce/Fir,1,1
53.370224,11.14319,1,Spruce/Fir,0,0
46.608883,28.717356,5,Aspen,0,0
-53.13531,-46.63473,2,Lodgepole Pine,1,1
-12.259006,-70.69769,1,Spruce/Fir,1,1
23.322859,44.23191,2,Lodgepole Pine,0,0
-7.3323154,22.455778,1,Spruce/Fir,1,1
-22.314484,-2.2033942,1,Spruce/Fir,1,1
-54.074047,-28.553486,2,Lodgepole Pine,1,1
15.191571,-63.95025,2,Lodgepole Pine,0,0
-7.217051,42.320347,2,Lodgepole Pine,1,1
-34.684383,-24.260666,2,Lodgepole Pine,1,1
46.36079,-25.012575,2,Lodgepole Pine,0,0
-19.039648,35.652885,1,Spruce/Fir,1,1
5.4802346,-53.280426,2,Lodgepole Pine,1,1
-56.129116,-24.769758,5,Aspen,1,1
-5.823453,48.050945,1,Spruce/Fir,1,1
41.704395,23.833864,2,Lodgepole Pine,0,0
36.38249,1.159851,2,Lodgepole Pine,0,0
36.6847,46.872177,2,Lodgepole Pine,0,0
-11.388391,32.22678,1,Spruce/Fir,1,1
47.243546,21.469244,2,Lodgepole Pine,0,0
8.532895,48.430603,2,Lodgepole Pine,1,1
-40.073814,6.2963953,1,Spruce/Fir,1,0
12.917562,-65.65125,2,Lodgepole Pine,1,0
61.41172,45.215378,6,Douglas-fir,0,0
29.903418,-50.47189,1,Spruce/Fir,0,0
55.563923,12.422499,1,Spruce/Fir,0,0
32.763477,-38.240112,2,Lodgepole Pine,0,0
-14.94261,57.572536,2,Lodgepole Pine,1,1
-45.125954,-46.063606,2,Lodgepole Pine,1,1
33.438587,-19.813036,2,Lodgepole Pine,0,0
15.938757,51.02194,3,Ponderosa Pine,1,1
24.067465,43.819748,2,Lodgepole Pine,0,0
-1.4954232,-43.41339,2,Lodgepole Pine,1,1
-57.44832,-9.766167,2,Lodgepole Pine,1,1
38.924664,-40.237846,1,Spruce/Fir,0,0
21.61949,42.36991,5,Aspen,1,0
-25.632473,-4.3854275,1,Spruce/Fir,1,1
-0.5164407,-66.10956,2,Lodgepole Pine,1,1
