model,type,accuracy,f1_macro,f1_weighted,auc_macro,train_time_sec,best_params,n_features
Random Forest (200 trees),Advanced Model,0.9086608814020759,0.9085890966522825,0.9080590844484538,0.9924383610782957,3.9977498054504395,,
Random Forest (120 trees),Advanced Model,0.9075718904202824,0.9075846928027683,0.9069673295983813,0.9922851003833688,2.4469099044799805,,
RF - Top 30 Features,Feature Selection,0.9067551471839373,0.9067152719453578,0.9061233778848129,,,,30.0
RF - Top 20 Features,Feature Selection,0.9025012761613068,0.9026579112387162,0.9016951035182432,,,,20.0
RF - Top 10 Features,Feature Selection,0.8983835290114004,0.8979546559333499,0.8972460508149165,,,,10.0
HGB (Tuned),Hyperparameter Tuning,0.8872213714480177,0.8886179197174219,0.8863246500535266,,,"{'learning_rate': 0.08, 'max_iter': 200, 'max_leaf_nodes': 41}",
Random Forest (Tuned),Hyperparameter Tuning,0.8857580398162328,0.8863234432431822,0.8851343591099108,,,"{'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 120}",
Voting Classifier (Soft),Ensemble,0.8816402926663264,0.8842556466691106,0.8805515188694321,,,,
Gradient Boosting (120 iter),Advanced Model,0.8794282797345584,0.8832420037422274,0.8783933825307664,0.9880359829076119,186.2587649822235,,
RF - Top 5 Features,Feature Control,0.8814701378254212,0.8776362630539154,0.8802230481158703,,,,
SMOTE + Decision Tree,Class Imbalance Handling,0.82736089841756,0.8287233754342413,0.8262795077559429,,,,
Decision Tree (Baseline),Baseline,0.8230729964267484,0.8193498561706484,0.8219497647266922,,,,
Decision Tree (Tuned),Hyperparameter Tuning,0.7997617832227327,0.7968925100535965,0.7983617931758636,,,"{'max_depth': 30, 'min_samples_leaf': 5, 'min_samples_split': 20}",
LR - All 54 Features (L2),Feature Control,0.6755827803301004,0.6597297773624492,0.6746137150151696,,19.810950756072998,,
LR + Polynomial (Tuned),Feature Engineering + Tuning,0.6055130168453292,0.5846067666099515,0.6021494009585368,,,"{'C': 10.0, 'penalty': 'l1'}",
LR + Polynomial Features,Feature Engineering,0.6054789858771482,0.5843739453910566,0.6021293662078464,,,,
