feature,importance
Elevation,0.2353196000659077
Horizontal_Distance_To_Roadways,0.0989525813263163
Horizontal_Distance_To_Fire_Points,0.07652273844122985
Horizontal_Distance_To_Hydrology,0.061800750376404374
Vertical_Distance_To_Hydrology,0.050436164286667626
Hillshade_9am,0.04926031911016095
Aspect,0.04429647744432453
Hillshade_3pm,0.041859989199571
Wilderness_Area_4,0.041604919775398146
Hillshade_Noon,0.03960319550575856
Slope,0.03164845526422235
Wilderness_Area_1,0.023369376137600387
Soil_Type_10,0.021462043763732678
Wilderness_Area_3,0.020582960131336345
Soil_Type_38,0.019939248165555014
Soil_Type_39,0.019817606314252893
Soil_Type_3,0.01822955118778745
Soil_Type_4,0.012867232310817664
Soil_Type_40,0.010801727234185186
Soil_Type_30,0.008787228145888386
