follow_up_rate,follow_up_count,captured_dropout,total_dropout,dropout_coverage,precision_among_followed,lift_vs_random,risk_cutoff,model
0.05,55,55,426,0.12910798122065728,1.0,2.556338028169014,0.9991518749323062,"Actionable LR, enrollment + 1st semester"
0.1,109,108,426,0.2535211267605634,0.9908256880733946,2.532885385708748,0.9946729177767303,"Actionable LR, enrollment + 1st semester"
0.15,164,163,426,0.3826291079812207,0.9939024390243902,2.5407506011679835,0.9851689785420968,"Actionable LR, enrollment + 1st semester"
0.2,218,216,426,0.5070422535211268,0.9908256880733946,2.532885385708748,0.9657518601705378,"Actionable LR, enrollment + 1st semester"
0.25,273,267,426,0.6267605633802817,0.978021978021978,2.500154774802662,0.9131297500144044,"Actionable LR, enrollment + 1st semester"
0.3,327,316,426,0.7417840375586855,0.9663608562691132,2.4703450058147047,0.7511476846555374,"Actionable LR, enrollment + 1st semester"
0.4,436,371,426,0.8708920187793427,0.8509174311926605,2.1752325881896883,0.3935664303589116,"Actionable LR, enrollment + 1st semester"
0.5,545,389,426,0.9131455399061033,0.7137614678899082,1.824615583408709,0.19765991806986447,"Actionable LR, enrollment + 1st semester"
0.05,55,55,426,0.12910798122065728,1.0,2.556338028169014,0.9997064820636665,"Full LR, enrollment + 1st + 2nd semester"
0.1,109,108,426,0.2535211267605634,0.9908256880733946,2.532885385708748,0.9988088619516665,"Full LR, enrollment + 1st + 2nd semester"
0.15,164,163,426,0.3826291079812207,0.9939024390243902,2.5407506011679835,0.9967375315392817,"Full LR, enrollment + 1st + 2nd semester"
0.2,218,217,426,0.5093896713615024,0.9954128440366973,2.544611706938881,0.9905717970888845,"Full LR, enrollment + 1st + 2nd semester"
0.25,273,272,426,0.6384976525821596,0.9963369963369964,2.5469741526079552,0.9703979903654281,"Full LR, enrollment + 1st + 2nd semester"
0.3,327,322,426,0.755868544600939,0.9847094801223242,2.517250290735237,0.8988265982064895,"Full LR, enrollment + 1st + 2nd semester"
0.4,436,384,426,0.9014084507042254,0.8807339449541285,2.251453676185554,0.4151881649272153,"Full LR, enrollment + 1st + 2nd semester"
0.5,545,408,426,0.9577464788732394,0.7486238532110092,1.9137356247577206,0.16530464531867645,"Full LR, enrollment + 1st + 2nd semester"
