column,missing_ratio
Elevation,0.0
Aspect,0.0
Slope,0.0
Horizontal_Distance_To_Hydrology,0.0
Vertical_Distance_To_Hydrology,0.0
Horizontal_Distance_To_Roadways,0.0
Hillshade_9am,0.0
Hillshade_Noon,0.0
Hillshade_3pm,0.0
Horizontal_Distance_To_Fire_Points,0.0
Wilderness_Area_1,0.0
Wilderness_Area_2,0.0
Wilderness_Area_3,0.0
Wilderness_Area_4,0.0
Soil_Type_1,0.0
Soil_Type_2,0.0
Soil_Type_3,0.0
Soil_Type_4,0.0
Soil_Type_5,0.0
Soil_Type_6,0.0
Soil_Type_7,0.0
Soil_Type_8,0.0
Soil_Type_9,0.0
Soil_Type_10,0.0
Soil_Type_11,0.0
Soil_Type_12,0.0
Soil_Type_13,0.0
Soil_Type_14,0.0
Soil_Type_15,0.0
Soil_Type_16,0.0
Soil_Type_17,0.0
Soil_Type_18,0.0
Soil_Type_19,0.0
Soil_Type_20,0.0
Soil_Type_21,0.0
Soil_Type_22,0.0
Soil_Type_23,0.0
Soil_Type_24,0.0
Soil_Type_25,0.0
Soil_Type_26,0.0
Soil_Type_27,0.0
Soil_Type_28,0.0
Soil_Type_29,0.0
Soil_Type_30,0.0
Soil_Type_31,0.0
Soil_Type_32,0.0
Soil_Type_33,0.0
Soil_Type_34,0.0
Soil_Type_35,0.0
Soil_Type_36,0.0
Soil_Type_37,0.0
Soil_Type_38,0.0
Soil_Type_39,0.0
Soil_Type_40,0.0
Cover_Type,0.0
