model,feature,importance_mean_f1_drop,importance_std
Random Forest,Elevation,0.39583758841032546,0.008263572618495467
Random Forest,Horizontal_Distance_To_Roadways,0.1809106627896469,0.007963969382985228
Random Forest,Horizontal_Distance_To_Fire_Points,0.13190809224437372,0.004637424748035127
Random Forest,Horizontal_Distance_To_Hydrology,0.06631814126881612,0.006539083650691222
Random Forest,Wilderness_Area_1,0.04939389785638382,0.004992998281700233
Random Forest,Vertical_Distance_To_Hydrology,0.04401322715036804,0.00420308653017767
Random Forest,Hillshade_9am,0.03257207449299602,0.007163063693454147
Random Forest,Hillshade_3pm,0.029755896534590896,0.006366715544178363
Random Forest,Wilderness_Area_3,0.024970264049245138,0.0038551594198121862
Random Forest,Soil_Type_10,0.02304140380665438,0.002736295982559433
Random Forest,Aspect,0.02140432773182015,0.005115108464720307
Random Forest,Soil_Type_3,0.019571709739778308,0.0005357753019046435
Random Forest,Soil_Type_38,0.017953797874665244,0.0015441213912665006
Random Forest,Hillshade_Noon,0.017640221651846512,0.004394099403728815
Random Forest,Soil_Type_39,0.01354132496108964,0.0009911049290963312
