tsne_1,tsne_2,row_id,Cover_Type
73.628494,31.093431,20551,1
-4.081744,-24.876802,570736,3
-22.282825,-58.40113,293577,6
21.92185,-39.799892,508198,1
43.38287,-24.66812,506124,1
17.248997,10.285311,384210,2
-6.666041,-59.359344,299364,6
9.582606,74.774956,219073,5
64.77299,-1.682477,139738,5
-4.008176,-20.876926,574429,3
3.887002,-69.55178,307652,6
20.974005,42.248493,512931,1
-4.71845,-15.837631,577037,3
-20.009224,44.23754,4116,5
65.00131,7.286887,89978,2
15.884447,25.116863,470884,7
-74.91237,-3.4651248,3164,4
31.674992,-8.286567,452399,7
-67.88493,-22.979757,3572,4
-23.313408,-64.044754,12603,4
-18.867924,-10.837404,567031,6
-6.5505924,-72.85642,2198,4
-6.2928495,21.03819,406733,1
74.82307,37.36723,29963,2
-19.077938,-8.098672,347057,5
28.578506,63.54962,233183,5
-43.79527,-44.00752,12638,4
67.20495,-7.722643,196668,1
20.505003,45.133896,549173,2
-36.958286,-18.395182,274983,3
35.90951,58.932137,266973,1
14.255959,65.24919,219718,5
-18.109352,-56.7014,298203,6
30.89165,50.218197,393526,1
-3.0147867,19.2695,371037,6
3.2889125,38.695454,515050,7
57.520016,27.638437,154843,2
-9.42142,54.233166,229031,2
-20.908672,-37.911583,260635,4
-21.712631,11.308987,310730,5
-77.22003,-16.295103,5218,4
27.77444,22.028437,473352,7
50.40493,35.984364,66668,2
53.196888,20.726513,153491,1
-18.781439,6.3014817,339459,5
14.143851,62.394547,11997,5
-55.122936,19.000565,2500,6
68.247345,26.673298,50360,2
-59.75893,18.583569,3102,3
19.980621,30.10999,358045,1
-55.036182,-27.240469,4951,4
29.869232,-39.41271,445068,2
-6.9298286,-64.5594,244479,6
-21.117523,44.862957,274211,5
21.584114,-30.480156,283404,2
38.396015,43.225426,196141,1
34.032734,-29.267387,473371,7
34.216053,-18.166704,370258,7
-48.51097,9.266258,287108,6
-38.853924,-16.925148,313050,6
72.46708,28.506733,38325,2
-1.8874713,-67.00434,3099,4
-20.655643,-8.372571,347042,3
13.189915,-8.292128,376775,7
-28.581367,24.391987,576890,6
20.657436,9.88952,374846,7
7.021643,22.393688,405427,1
-33.2673,-45.487164,237841,4
62.66485,8.429722,94824,2
-23.858543,-6.081123,574608,3
4.2600546,61.57834,282134,7
27.047075,64.63241,242653,5
17.92979,37.017582,10404,7
-10.602827,-56.377666,314818,2
-57.958885,-14.754989,6216,6
-21.965992,12.0052395,312416,5
-6.097344,-72.946045,248784,3
-41.86542,-42.984768,3121,4
-57.281307,19.905415,283158,6
18.117928,-28.91762,252764,5
2.8709445,32.411015,7178,7
52.765003,53.263287,136368,2
-46.978645,4.6268272,253794,6
15.060139,-5.383375,375450,7
-8.253358,2.9162266,413809,5
-3.586783,56.69901,397120,7
28.094814,-22.025255,374432,5
-35.21219,4.6097445,577012,3
52.187454,-15.674691,75034,2
41.56466,54.307545,173237,5
32.86092,-18.417639,424950,1
-18.812178,6.311971,339462,3
54.28676,50.760094,86542,2
48.202286,-26.53828,533227,1
31.163017,39.165398,235032,7
-33.728397,2.5928493,577742,3
-32.399796,2.0123377,572871,3
9.30999,20.230425,456069,7
16.521414,11.997344,391311,1
38.197647,43.282818,188637,1
-77.35713,-16.416973,5438,4
15.443439,69.26272,225032,5
-9.812551,2.1555254,559489,6
-62.572495,15.521464,12598,4
27.490904,-26.639645,392382,1
-27.548353,-50.77865,12717,4
-21.961672,15.060529,579672,3
30.362938,9.863883,464048,7
-57.88799,-25.123196,328921,3
-78.84742,-2.0118685,12519,4
-22.047924,11.375174,13499,5
-5.693069,48.5849,8659,5
-66.58052,-30.51788,4617,4
67.57325,21.19629,165293,1
58.48086,27.993456,138612,1
2.7920609,-73.125916,247715,3
-69.35064,-0.69610864,230118,3
34.925243,1.8385798,485530,7
-19.26715,49.34289,222454,2
14.627094,-23.573479,383965,1
44.70153,-2.4919975,471237,7
0.7570577,8.9262495,439209,1
-25.937557,36.80886,569454,3
11.526202,77.047386,1574,5
9.138419,-36.141598,427352,5
-40.792255,-18.840939,300887,3
32.671696,18.29428,460595,7
8.771385,-36.731857,6674,5
47.521694,17.411404,182627,1
-8.551919,31.752806,267028,5
-15.508788,39.537743,407656,3
-7.673779,44.73931,485559,7
12.20613,29.901247,384706,7
19.141891,51.199165,454618,7
32.81102,-46.541546,539541,7
-66.35932,-29.763388,5153,4
-63.080776,3.6387854,12651,4
46.159477,-28.717402,482816,1
66.56932,26.70024,48158,2
13.149627,5.428442,14573,7
-21.114792,26.127384,567224,3
-46.934544,-14.222573,5985,4
-74.45703,-7.8385,5020,4
-55.328827,-25.560118,5265,4
-0.5955366,15.514081,319666,1
23.706516,-37.20639,517640,1
-74.69972,-22.610905,281878,4
-33.686314,1.9874394,577736,3
-1.5902588,51.413403,505192,7
-47.601246,-15.488564,5379,4
21.6091,5.768136,381503,7
10.2178545,-1.2933044,528676,2
-66.05233,-28.783691,4985,4
-17.20375,-34.383595,228669,3
-71.89384,-27.168152,5106,4
15.757955,68.956184,229330,5
-17.66435,49.134792,387201,5
-13.241564,23.86009,316497,1
-11.746721,48.319843,395593,5
-12.7606,17.886238,431502,2
18.616844,64.580185,242639,5
3.1684139,38.531864,514560,7
15.709309,-23.324331,2330,5
59.938103,9.883714,158283,1
70.04872,26.157978,84962,1
-8.193294,-13.85314,572462,3
27.6046,-41.832565,501223,2
-53.89356,16.075243,298949,6
46.120007,16.625586,182379,1
21.267694,41.538925,503884,1
-10.179604,-44.12084,270173,3
6.1794767,0.33123592,305636,5
26.677471,-11.675819,393753,1
29.973562,16.981962,460578,7
-31.24703,17.594824,575615,6
8.481559,-32.251648,8872,5
64.94519,0.058725342,157509,1
0.57778627,-18.901154,572680,3
-15.451427,39.551426,8563,3
-9.6262665,51.49575,488142,1
-63.144688,1.0161328,286430,4
8.2262125,18.81937,456590,7
-67.324554,-9.891102,293496,3
6.3265038,35.395287,361878,7
-18.097164,30.64269,10058,5
-61.39877,8.1896305,12494,4
62.929306,-12.531534,193087,1
-8.050113,-59.47052,291167,3
-6.709981,-17.730549,356712,3
-7.285264,21.045885,439994,1
-18.830404,10.715052,327447,5
25.441164,-42.959614,233469,6
18.946608,30.003311,7536,7
-46.31324,1.776056,282015,6
-10.16141,-16.75117,574975,3
24.82774,-15.088078,401862,7
50.888733,24.98108,168175,2
18.597172,30.21856,372243,7
71.80197,28.977009,62669,1
52.723656,50.54572,93608,2
62.722435,34.971657,58895,1
-74.51125,-20.12003,5340,4
46.28252,-30.13741,482460,2
21.016615,-28.814722,2663,5
19.981995,-32.762615,401057,1
20.983887,-46.95088,229104,6
-18.774857,19.535994,563941,2
-20.838324,34.095966,521763,1
-20.58362,-3.764315,382428,5
-46.106766,-33.55312,290228,6
40.11775,29.48679,384475,1
41.530003,47.09583,11710,2
-46.155777,-43.5596,3602,4
-38.74701,-23.285627,6128,4
-42.791508,-14.926788,289629,3
7.7172813,0.5667453,526847,2
11.671327,-17.456085,307028,2
-10.430911,10.14088,419587,5
4.278334,-58.97762,280686,3
4.7406235,-75.46235,280272,6
14.738413,-43.03725,349268,5
-23.638723,43.358826,265341,5
-74.94142,-21.590134,5026,4
-67.54733,-24.251427,284799,4
36.823105,32.142315,452594,7
-19.047604,8.698206,566765,2
-44.827515,-43.01652,2212,4
-23.302456,-6.504536,355518,6
31.655296,39.06712,306328,1
43.97496,33.192673,213401,7
20.108347,65.10856,237033,5
-21.35172,44.12992,277645,5
-40.94236,-44.089165,3859,4
18.391186,34.81948,541049,7
-73.13182,6.2881174,252487,3
-46.54078,-2.8699374,4594,4
-59.2101,0.19411077,3584,4
-8.392955,1.2635729,409049,5
42.08603,-24.899057,475925,2
-13.237707,11.873042,379753,3
18.225456,-43.394184,14174,6
12.639448,17.86413,461153,7
33.743164,-25.96589,523719,1
-19.162773,-33.524036,4298,4
23.542536,-43.64579,372329,2
3.3661776,-65.991295,342792,2
-21.750952,-13.372761,351808,3
54.677994,23.792513,195080,2
-70.92929,-12.431094,262211,4
-55.388878,23.904705,262140,3
41.056812,54.5581,173804,5
57.935493,-13.537528,51816,2
-31.497972,-4.849986,573635,3
10.8785925,76.05167,196512,5
24.552238,-15.417409,367513,1
44.45607,40.298264,214682,2
-53.29267,-5.9686227,3727,4
59.692703,27.63923,106570,1
-8.851967,-15.489907,348125,2
-30.74779,-58.55574,2694,4
33.71798,39.525387,232571,7
3.5284543,61.64628,279240,7
66.92961,25.58156,75828,1
4.801696,49.076424,444586,1
-19.319027,5.6949553,569083,3
22.177626,71.21674,260859,1
-70.26007,-17.24223,3520,4
-23.357056,43.78353,264906,5
-31.631208,1.4598283,577114,3
-16.177538,-72.332306,3758,4
19.126154,45.04158,512443,1
-79.95701,-0.647337,3093,4
4.3111887,-32.441174,578374,6
18.926254,29.323616,366779,1
-60.520203,16.44378,278350,3
-0.5012075,-67.0929,268195,3
-59.127113,-18.935455,3358,4
-46.642826,-13.52171,297715,3
-3.704778,56.315254,391232,7
6.759118,-73.569954,278942,3
20.381708,-41.783894,8716,6
-10.492338,-73.17301,12538,4
44.29083,21.835934,340893,7
-27.379557,-1.6132876,394793,3
37.86346,42.781494,225422,1
-70.74043,-16.980461,3804,4
-34.961037,4.314629,574659,6
22.228039,68.00608,241229,5
-72.217316,-8.096487,4780,4
63.143284,30.087418,286620,7
-44.158157,-0.29410467,304767,6
27.20699,59.644726,367895,7
-39.209606,-47.197544,257839,4
-55.9227,16.405817,277937,6
17.569092,-46.065773,375780,6
5.1678047,-15.927982,504398,2
65.51866,1.0142254,105973,2
-49.450363,14.843389,267210,3
-14.675031,-41.173912,257935,3
-11.386524,-39.95948,288633,3
-30.71459,11.682803,222922,6
-69.01752,-4.6472716,228666,3
52.93938,-18.03921,105541,2
78.51998,36.13451,16856,5
-4.387271,-73.619026,301292,6
-69.45905,-12.565736,12747,4
-51.278164,11.402191,5824,6
69.70358,28.992205,75446,2
-46.92097,4.169622,5496,6
33.20511,-41.554684,498097,1
-22.009295,12.178061,312992,5
-75.18347,-10.356234,3959,4
4.864365,-69.04441,247112,3
-0.5307497,-75.00599,254403,6
-55.746025,26.232018,258388,3
-9.272261,18.528513,10093,1
3.4006689,20.209835,418738,7
52.128983,0.59649694,294631,7
-53.287045,-5.915496,3657,4
16.701912,39.71212,532027,7
-54.304924,18.470938,273931,6
59.192585,35.06721,273942,7
43.522087,-10.235633,462640,7
-6.9831367,-71.378555,5827,4
-20.398151,-31.902021,4182,4
-43.558292,-13.223115,288637,3
-41.711277,-29.713875,6109,4
34.93053,-13.864607,372451,7
-33.78457,-57.204266,12822,4
-54.810394,22.079515,272831,6
-19.051317,49.54224,3184,5
-6.634232,-55.552097,289214,3
17.828512,-33.365837,565650,2
14.294295,64.49839,220789,5
-46.909344,-33.266644,333180,3
20.457716,8.213492,387437,7
2.0168777,22.17026,8242,1
60.66412,21.798279,85674,1
-47.38193,-2.0123398,271207,4
33.912254,32.80596,454627,7
9.532831,-14.209278,378756,7
17.402094,-21.66587,454348,1
-11.614215,-44.390255,303247,6
1.7470804,32.291595,355837,7
-47.147778,-0.16746758,3952,4
36.9608,56.977375,187634,5
-9.830014,-59.062428,276131,6
-15.75205,51.90615,372874,5
16.900858,46.13952,534401,1
-2.9880393,-61.772526,284257,6
19.302933,0.9199982,406930,5
60.726173,-16.019915,101586,2
6.626723,2.9792564,391979,2
-29.691473,0.8926999,372193,3
28.773117,63.720833,225500,5
32.49314,-14.908464,356441,7
67.94296,8.435368,59968,2
31.67138,-29.262922,532308,1
30.18585,15.189723,449469,7
31.66093,-38.39072,501941,1
-10.136852,4.0121617,380433,6
18.101387,-45.482117,230076,6
8.247497,32.454487,370267,7
3.6666539,-4.850331,261541,5
1.5542226,-62.612423,291248,6
11.163999,72.088,214112,5
22.887169,-26.96349,265286,2
-68.369095,-7.1761813,3559,4
-72.53411,-8.829998,13080,4
65.74802,-7.3401365,121996,2
45.563282,1.9544632,464083,7
7.145128,67.18438,181711,5
-18.10472,31.109848,507110,5
-49.940666,-4.0562587,12697,4
-49.712685,13.529373,286014,6
65.4623,-8.885091,212147,1
-19.11452,-6.307918,577987,3
-8.816564,16.709543,454058,1
-28.100393,23.543137,570480,2
25.69154,-16.021873,454781,2
-27.285704,-63.862625,3138,4
31.635927,56.03494,257485,1
52.79073,50.284332,99309,2
-8.37321,26.755028,258139,2
13.086999,-7.19892,386067,7
51.79863,-17.977587,125193,1
24.475328,-25.155167,419244,1
72.12882,28.568836,59407,1
48.882748,-26.771212,543811,7
-22.076126,-17.84247,577331,3
17.419455,-20.726229,2374,5
14.496082,-46.71212,218606,5
